Deadline,Location,Required_skills,company_name,jobs_title,title,views
,"Kupondole,Nepal,Kathmandu, Nepal,Nepal,remote,Kathmandu, Nepal,Lalitpur, Nepal,Lalitpur, Nepal","Deep Learning Concepts,Professionalism,Nlp,Java,Machine Learning,Customer Service,Verbal Communication,Proficiency With Core Java,Professionalism,Written Communication Skills,Verbal Communication Skills,Interpersonal Skills,Management,Communication,Organizational,Multitasking,Interpersonal Skills,Attention to Detail,Management,Communication,Organizational,Multitasking,Interpersonal Skills,Attention to Detail,Management,Communication,Organizational,Multitasking",,,,
,"Kupondole,Nepal,Kathmandu, Nepal,Nepal,remote,Kathmandu, Nepal,Lalitpur, Nepal,Lalitpur, Nepal","Deep Learning Concepts,Professionalism,Nlp,Java,Machine Learning,Customer Service,Verbal Communication,Proficiency With Core Java,Professionalism,Written Communication Skills,Verbal Communication Skills,Interpersonal Skills,Management,Communication,Organizational,Multitasking,Interpersonal Skills,Attention to Detail,Management,Communication,Organizational,Multitasking,Interpersonal Skills,Attention to Detail,Management,Communication,Organizational,Multitasking",,,,
,"Kupondole,Nepal,Kathmandu, Nepal,Nepal,remote,Kathmandu, Nepal,Lalitpur, Nepal,Lalitpur, Nepal","Deep Learning Concepts,Professionalism,Nlp,Java,Machine Learning,Customer Service,Verbal Communication,Proficiency With Core Java,Professionalism,Written Communication Skills,Verbal Communication Skills,Interpersonal Skills,Management,Communication,Organizational,Multitasking,Interpersonal Skills,Attention to Detail,Management,Communication,Organizational,Multitasking,Interpersonal Skills,Attention to Detail,Management,Communication,Organizational,Multitasking",,,,
,"Kupondole,Nepal,Kathmandu, Nepal,Nepal,remote,Kathmandu, Nepal,Lalitpur, Nepal,Lalitpur, Nepal","Deep Learning Concepts,Professionalism,Nlp,Java,Machine Learning,Customer Service,Verbal Communication,Proficiency With Core Java,Professionalism,Written Communication Skills,Verbal Communication Skills,Interpersonal Skills,Management,Communication,Organizational,Multitasking,Interpersonal Skills,Attention to Detail,Management,Communication,Organizational,Multitasking,Interpersonal Skills,Attention to Detail,Management,Communication,Organizational,Multitasking","
Smart Data Solution
","
Machine Learning Engineer
",,
,"Kupondole,Nepal,Kathmandu, Nepal,Nepal,remote,Kathmandu, Nepal,Lalitpur, Nepal,Lalitpur, Nepal","Deep Learning Concepts,Professionalism,Nlp,Java,Machine Learning,Customer Service,Verbal Communication,Proficiency With Core Java,Professionalism,Written Communication Skills,Verbal Communication Skills,Interpersonal Skills,Management,Communication,Organizational,Multitasking,Interpersonal Skills,Attention to Detail,Management,Communication,Organizational,Multitasking,Interpersonal Skills,Attention to Detail,Management,Communication,Organizational,Multitasking","
Dahua Technology
","
Product Engineer
",,
,"Kupondole,Nepal,Kathmandu, Nepal,Nepal,remote,Kathmandu, Nepal,Lalitpur, Nepal,Lalitpur, Nepal","Deep Learning Concepts,Professionalism,Nlp,Java,Machine Learning,Customer Service,Verbal Communication,Proficiency With Core Java,Professionalism,Written Communication Skills,Verbal Communication Skills,Interpersonal Skills,Management,Communication,Organizational,Multitasking,Interpersonal Skills,Attention to Detail,Management,Communication,Organizational,Multitasking,Interpersonal Skills,Attention to Detail,Management,Communication,Organizational,Multitasking","
Smart Data Solution
","
Support Engineer
",,
,"Kupondole,Nepal,Kathmandu, Nepal,Nepal,remote,Kathmandu, Nepal,Lalitpur, Nepal,Lalitpur, Nepal","Deep Learning Concepts,Professionalism,Nlp,Java,Machine Learning,Customer Service,Verbal Communication,Proficiency With Core Java,Professionalism,Written Communication Skills,Verbal Communication Skills,Interpersonal Skills,Management,Communication,Organizational,Multitasking,Interpersonal Skills,Attention to Detail,Management,Communication,Organizational,Multitasking,Interpersonal Skills,Attention to Detail,Management,Communication,Organizational,Multitasking",,,,
,"Kupondole,Nepal,Kathmandu, Nepal,Nepal,remote,Kathmandu, Nepal,Lalitpur, Nepal,Lalitpur, Nepal","Deep Learning Concepts,Professionalism,Nlp,Java,Machine Learning,Customer Service,Verbal Communication,Proficiency With Core Java,Professionalism,Written Communication Skills,Verbal Communication Skills,Interpersonal Skills,Management,Communication,Organizational,Multitasking,Interpersonal Skills,Attention to Detail,Management,Communication,Organizational,Multitasking,Interpersonal Skills,Attention to Detail,Management,Communication,Organizational,Multitasking","
Cedar Gate Services
","
Business Analyst
",,
,"Kupondole,Nepal,Kathmandu, Nepal,Nepal,remote,Kathmandu, Nepal,Lalitpur, Nepal,Lalitpur, Nepal","Deep Learning Concepts,Professionalism,Nlp,Java,Machine Learning,Customer Service,Verbal Communication,Proficiency With Core Java,Professionalism,Written Communication Skills,Verbal Communication Skills,Interpersonal Skills,Management,Communication,Organizational,Multitasking,Interpersonal Skills,Attention to Detail,Management,Communication,Organizational,Multitasking,Interpersonal Skills,Attention to Detail,Management,Communication,Organizational,Multitasking","
Cedar Gate Services
","
Training Officer
",,
,"Kupondole,Nepal,Kathmandu, Nepal,Nepal,remote,Kathmandu, Nepal,Lalitpur, Nepal,Lalitpur, Nepal","Deep Learning Concepts,Professionalism,Nlp,Java,Machine Learning,Customer Service,Verbal Communication,Proficiency With Core Java,Professionalism,Written Communication Skills,Verbal Communication Skills,Interpersonal Skills,Management,Communication,Organizational,Multitasking,Interpersonal Skills,Attention to Detail,Management,Communication,Organizational,Multitasking,Interpersonal Skills,Attention to Detail,Management,Communication,Organizational,Multitasking","
Cedar Gate Services
","
Data Engineer
",,
