Deadline,Location,Required_skills,company_name,jobs_title,title,views
,,,,,,
,,,,,,
,,,,,,
,"Kupondole,Nepal","Deep Learning Concepts,Professionalism,Nlp,Java,Machine Learning","
Smart Data Solution
","
Machine Learning Engineer
",,
,"Kathmandu, Nepal","Customer Service,Verbal Communication","
Dahua Technology
","
Product Engineer
",,
,"Nepal,remote","Proficiency With Core Java,Professionalism,Written Communication Skills,Verbal Communication Skills","
Smart Data Solution
","
Support Engineer
",,
,"Kathmandu, Nepal","Interpersonal Skills,Management,Communication,Organizational,Multitasking","
Cedar Gate Services
","
Business Analyst
",,
,"Lalitpur, Nepal","Interpersonal Skills,Attention to Detail,Management,Communication,Organizational,Multitasking","
Cedar Gate Services
","
Training Officer
",,
,"Lalitpur, Nepal","Interpersonal Skills,Attention to Detail,Management,Communication,Organizational,Multitasking","
Cedar Gate Services
","
Data Engineer
",,
,,,,,,
,,,,,,
,,,,,,
,,,,,,"
,
Views: 1849
"
,,,,,,"
,
Views: 2634
"
,,,,,,"
,
Views: 2650
"
,,,,,,"
,
Views: 2713
"
,,,,,,"
,
Views: 2313
"
,,,,,,"
,
Views: 1639
"
